chi,chosen_mode,with_xai,prob_correct,pred_time,reward,correct,cog_retrieval_threshold,cog_latency_factor,cog_T_enc,cog_T_op,cog_ddm_a,cog_ddm_s,cog_chi
0.015390867179629878,unknown,True,0.7909671597593124,3.8876946881305012,0.7311321671793433,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.2963429948266193,3.7411322841180854,0.2387637247403325,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.7819520233625807,3.7615063958959327,0.7240591780280181,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.7561346349920962,3.784925756531114,0.6978813453885657,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.7161201830674179,3.717596760192781,0.6589031451038684,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.8805259083775436,3.6370397018934275,0.8245487133986612,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.1317444711128075,3.6590727861715893,0.07542816786024231,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.7474181410112674,3.720415216369134,0.690157724563056,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.21325460108172778,3.7087734826004626,0.15617336101169071,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.23330226810989094,3.7175502816753374,0.17608594549103018,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.28264050530319995,3.768329122185718,0.2246426522945083,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.6530153081839354,3.855235443507267,0.5936798915267135,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.4782652779701038,3.7892084189143653,0.4199460744786575,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
