task,app_id,model_name,repeat,instance_id,strategy,parameter,parameter_value,accuracy,probability_assigned_to_target,time_seconds
forward,wine_quality,mlp,0,260,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.593509455952953,22.61824894997735
forward,wine_quality,mlp,0,260,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.3136398949901449,11.792055803407772
forward,wine_quality,mlp,0,260,dt_read,memory_recall_threshold,-5.0,1.0,1.0,15.482836399575122
forward,wine_quality,mlp,0,260,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.875,16.482836399575124
forward,wine_quality,mlp,0,129,lr_calculation_read,memory_recall_threshold,-5.0,0.0,0.43540333670890596,19.715071120767266
forward,wine_quality,mlp,0,129,lr_calculation_retrieve,memory_recall_threshold,-5.0,0.0,0.45373522232600627,22.74152564635475
forward,wine_quality,mlp,0,129,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.32286385169806503,11.929565722699545
forward,wine_quality,mlp,0,129,dt_read,memory_recall_threshold,-5.0,1.0,0.5,17.36588183727429
forward,wine_quality,mlp,0,129,dt_retrieve,memory_recall_threshold,-5.0,0.0,0.4375,18.240345474761014
forward,wine_quality,mlp,0,313,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.9394666542621498,17.50663523086576
forward,wine_quality,mlp,0,313,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.9507890891952013,20.52990419655887
forward,wine_quality,mlp,0,313,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.7641105016072598,12.163127841478534
forward,wine_quality,mlp,0,313,dt_read,memory_recall_threshold,-5.0,1.0,1.0,15.482836399575122
forward,wine_quality,mlp,0,313,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.8125,16.482836399575124
forward,wine_quality,mlp,0,227,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.9606858585416221,17.10354155201062
forward,wine_quality,mlp,0,227,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.9592822736313202,20.550404074285247
forward,wine_quality,mlp,0,227,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.9727001549475816,11.597833056319082
forward,wine_quality,mlp,0,227,dt_read,memory_recall_threshold,-5.0,1.0,0.8125,15.482836399575122
forward,wine_quality,mlp,0,227,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.78125,15.483909124601677
forward,wine_quality,mlp,0,318,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.9253003545905719,17.724877610898588
forward,wine_quality,mlp,0,318,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.8236290956760965,20.76852617479838
forward,wine_quality,mlp,0,318,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.4978278800487732,12.597741916814122
forward,wine_quality,mlp,0,318,dt_read,memory_recall_threshold,-5.0,1.0,0.9375,15.482836399575122
forward,wine_quality,mlp,0,318,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.75,14.484981849628232
forward,wine_quality,mlp,0,177,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.8293181935481373,18.708084453637554
forward,wine_quality,mlp,0,177,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.8086033667362441,21.580511111444665
forward,wine_quality,mlp,0,177,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.27550176233234114,12.62523603703425
forward,wine_quality,mlp,0,177,dt_read,memory_recall_threshold,-5.0,0.0,0.6875,15.733909124601679
forward,wine_quality,mlp,0,177,dt_retrieve,memory_recall_threshold,-5.0,0.0,0.8125,16.482836399575124
forward,wine_quality,mlp,0,20,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.7259140508706525,19.298675515252395
forward,wine_quality,mlp,0,20,lr_calculation_retrieve,memory_recall_threshold,-5.0,0.0,0.7161550679870323,22.190175617455886
forward,wine_quality,mlp,0,20,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.7437465577526254,11.832638047595193
forward,wine_quality,mlp,0,20,dt_read,memory_recall_threshold,-5.0,1.0,0.9375,17.491418199787567
forward,wine_quality,mlp,0,20,dt_retrieve,memory_recall_threshold,-5.0,0.0,0.9375,18.36588183727429
forward,wine_quality,mlp,0,326,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.7508738607225741,19.184736462347047
forward,wine_quality,mlp,0,326,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.7348473704722599,22.13117070907589
forward,wine_quality,mlp,0,326,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.6318629102798872,12.274712774411958
forward,wine_quality,mlp,0,326,dt_read,memory_recall_threshold,-5.0,0.0,0.8125,15.859445487114955
forward,wine_quality,mlp,0,326,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.90625,15.483909124601677
forward,wine_quality,mlp,0,349,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.8256866413929564,18.73490520008811
forward,wine_quality,mlp,0,349,lr_calculation_retrieve,memory_recall_threshold,-5.0,0.0,0.6953886657481697,21.731399872071623
forward,wine_quality,mlp,0,349,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.8643256605461674,12.296720835618633
forward,wine_quality,mlp,0,349,dt_read,memory_recall_threshold,-5.0,1.0,0.875,15.482836399575122
forward,wine_quality,mlp,0,349,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.875,16.482836399575124
forward,wine_quality,mlp,0,68,lr_calculation_read,memory_recall_threshold,-5.0,0.0,0.4572586510170019,19.734746696910975
forward,wine_quality,mlp,0,68,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.4649208426459297,22.436134161298593
forward,wine_quality,mlp,0,68,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.3955417566786108,12.134234972979415
forward,wine_quality,mlp,0,68,dt_read,memory_recall_threshold,-5.0,1.0,0.8125,15.482836399575122
forward,wine_quality,mlp,0,68,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.71875,15.483909124601677
forward,wine_quality,mlp,0,5,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.954609636321869,17.231198602834077
forward,wine_quality,mlp,0,5,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.7910320059975948,20.57109134848441
forward,wine_quality,mlp,0,5,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.6194985142682427,12.99740570501604
forward,wine_quality,mlp,0,5,dt_read,memory_recall_threshold,-5.0,1.0,0.8125,15.482836399575122
forward,wine_quality,mlp,0,5,dt_retrieve,memory_recall_threshold,-5.0,1.0,1.0,16.482836399575124
forward,wine_quality,mlp,1,262,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.7107237556789727,19.360589330005713
forward,wine_quality,mlp,1,262,lr_calculation_retrieve,memory_recall_threshold,-5.0,0.0,0.7824666088573415,21.798180748730847
forward,wine_quality,mlp,1,262,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.7205172077198768,11.992103587832489
forward,wine_quality,mlp,1,262,dt_read,memory_recall_threshold,-5.0,1.0,0.875,17.491418199787567
forward,wine_quality,mlp,1,262,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.78125,15.118027287327399
forward,wine_quality,mlp,1,108,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.7856126472036433,18.99813609601832
forward,wine_quality,mlp,1,108,lr_calculation_retrieve,memory_recall_threshold,-5.0,0.0,0.7702913644509879,21.77984183200251
forward,wine_quality,mlp,1,108,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.6737238683434811,12.616682873160558
forward,wine_quality,mlp,1,108,dt_read,memory_recall_threshold,-5.0,1.0,1.0,15.482836399575122
forward,wine_quality,mlp,1,108,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.9375,16.482836399575124
forward,wine_quality,mlp,1,161,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.9325157690919744,17.6176415558643
forward,wine_quality,mlp,1,161,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.8901217664535601,21.01829913698923
forward,wine_quality,mlp,1,161,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.8149730036469147,11.065736513357606
forward,wine_quality,mlp,1,161,dt_read,memory_recall_threshold,-5.0,1.0,0.9375,15.482836399575122
forward,wine_quality,mlp,1,161,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.84375,15.483909124601677
forward,wine_quality,mlp,1,267,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.8559114762340506,18.49387756898922
forward,wine_quality,mlp,1,267,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.8727743448463241,21.645956363330363
forward,wine_quality,mlp,1,267,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.3095895813830978,12.259549023998645
forward,wine_quality,mlp,1,267,dt_read,memory_recall_threshold,-5.0,1.0,0.875,15.482836399575122
forward,wine_quality,mlp,1,267,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.8125,16.482836399575124
forward,wine_quality,mlp,1,172,lr_calculation_read,memory_recall_threshold,-5.0,0.0,0.7698767466780952,19.086976416296853
forward,wine_quality,mlp,1,172,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.8099072509693359,21.26465036343641
forward,wine_quality,mlp,1,172,lr_heuristic,memory_recall_threshold,-5.0,0.0,0.6229267758740079,11.358853860784134
forward,wine_quality,mlp,1,172,dt_read,memory_recall_threshold,-5.0,1.0,0.875,15.482836399575122
forward,wine_quality,mlp,1,172,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.65625,15.483909124601677
forward,wine_quality,mlp,1,197,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.926635496981435,17.705592448065296
forward,wine_quality,mlp,1,197,lr_calculation_retrieve,memory_recall_threshold,-5.0,1.0,0.8827375394722857,21.341264687351842
forward,wine_quality,mlp,1,197,lr_heuristic,memory_recall_threshold,-5.0,1.0,0.5426842790608655,12.241415429919641
forward,wine_quality,mlp,1,197,dt_read,memory_recall_threshold,-5.0,1.0,1.0,15.482836399575122
forward,wine_quality,mlp,1,197,dt_retrieve,memory_recall_threshold,-5.0,1.0,0.9375,14.484981849628232
forward,wine_quality,mlp,1,277,lr_calculation_read,memory_recall_threshold,-5.0,1.0,0.9088753155650128,17.944337118277954
