task,app_id,model_name,repeat,instance_id,strategy,parameter,parameter_value,success,time_seconds
counterfactual,wine_quality,mlp,0,244,cf_lr_heuristic,memory_recall_threshold,-5.0,0.25,9.5
counterfactual,wine_quality,mlp,0,244,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,244,cf_dt_retrieve,memory_recall_threshold,-5.0,0.75,5.701133445040199
counterfactual,wine_quality,mlp,0,244,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,244,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,374,cf_lr_calculation,memory_recall_threshold,-5.0,0.13293239766456072,2.0
counterfactual,wine_quality,mlp,0,374,cf_lr_heuristic,memory_recall_threshold,-5.0,0.2,9.5
counterfactual,wine_quality,mlp,0,374,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,374,cf_dt_retrieve,memory_recall_threshold,-5.0,0.0,6.411739019213565
counterfactual,wine_quality,mlp,0,374,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,374,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,70,cf_lr_calculation,memory_recall_threshold,-5.0,1.0,2.0
counterfactual,wine_quality,mlp,0,70,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.5
counterfactual,wine_quality,mlp,0,70,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,70,cf_dt_retrieve,memory_recall_threshold,-5.0,0.625,4.896777870866833
counterfactual,wine_quality,mlp,0,70,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,70,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,335,cf_lr_calculation,memory_recall_threshold,-5.0,0.2061501616485559,2.0
counterfactual,wine_quality,mlp,0,335,cf_lr_heuristic,memory_recall_threshold,-5.0,0.2,9.5
counterfactual,wine_quality,mlp,0,335,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,335,cf_dt_retrieve,memory_recall_threshold,-5.0,0.6875,5.283330657953516
counterfactual,wine_quality,mlp,0,335,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,335,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,301,cf_lr_calculation,memory_recall_threshold,-5.0,0.48757158085357943,2.0
counterfactual,wine_quality,mlp,0,301,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,0,301,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,0,301,cf_dt_retrieve,memory_recall_threshold,-5.0,1.0,6.025186232126882
counterfactual,wine_quality,mlp,0,301,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,301,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,290,cf_lr_calculation,memory_recall_threshold,-5.0,0.9999999999999999,1.9999999999999998
counterfactual,wine_quality,mlp,0,290,cf_lr_heuristic,memory_recall_threshold,-5.0,1.0,9.5
counterfactual,wine_quality,mlp,0,290,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,0,290,cf_dt_retrieve,memory_recall_threshold,-5.0,0.125,6.411739019213565
counterfactual,wine_quality,mlp,0,290,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,290,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,386,cf_lr_calculation,memory_recall_threshold,-5.0,0.48809954086969964,2.0
counterfactual,wine_quality,mlp,0,386,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.500000000000002
counterfactual,wine_quality,mlp,0,386,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,386,cf_dt_retrieve,memory_recall_threshold,-5.0,0.8125,6.025186232126882
counterfactual,wine_quality,mlp,0,386,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,386,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,139,cf_lr_calculation,memory_recall_threshold,-5.0,1.0,2.0
counterfactual,wine_quality,mlp,0,139,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.500000000000002
counterfactual,wine_quality,mlp,0,139,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,139,cf_dt_retrieve,memory_recall_threshold,-5.0,0.625,4.898105574173367
counterfactual,wine_quality,mlp,0,139,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,139,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,318,cf_lr_calculation,memory_recall_threshold,-5.0,0.2061501616485559,2.0
counterfactual,wine_quality,mlp,0,318,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.500000000000002
counterfactual,wine_quality,mlp,0,318,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,318,cf_dt_retrieve,memory_recall_threshold,-5.0,0.625,4.865527870866833
counterfactual,wine_quality,mlp,0,318,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,318,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,132,cf_lr_calculation,memory_recall_threshold,-5.0,0.13293239766456072,2.0
counterfactual,wine_quality,mlp,0,132,cf_lr_heuristic,memory_recall_threshold,-5.0,0.2,9.5
counterfactual,wine_quality,mlp,0,132,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,132,cf_dt_retrieve,memory_recall_threshold,-5.0,0.625,4.865527870866833
counterfactual,wine_quality,mlp,0,132,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,132,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,38,cf_lr_calculation,memory_recall_threshold,-5.0,0.8604575385191611,2.0
counterfactual,wine_quality,mlp,0,38,cf_lr_heuristic,memory_recall_threshold,-5.0,0.4,9.5
counterfactual,wine_quality,mlp,0,38,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,38,cf_dt_retrieve,memory_recall_threshold,-5.0,0.875,6.411739019213565
counterfactual,wine_quality,mlp,0,38,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,38,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,368,cf_lr_calculation,memory_recall_threshold,-5.0,0.6441353638923649,2.0
counterfactual,wine_quality,mlp,0,368,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,0,368,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,0,368,cf_dt_retrieve,memory_recall_threshold,-5.0,0.0,5.701133445040199
counterfactual,wine_quality,mlp,0,368,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,0,368,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,96,cf_lr_calculation,memory_recall_threshold,-5.0,0.9999999999999999,1.9999999999999998
counterfactual,wine_quality,mlp,1,96,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.5
counterfactual,wine_quality,mlp,1,96,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,96,cf_dt_retrieve,memory_recall_threshold,-5.0,0.3125,5.252080657953516
counterfactual,wine_quality,mlp,1,96,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,96,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,179,cf_lr_calculation,memory_recall_threshold,-5.0,0.6448328567948611,2.0
counterfactual,wine_quality,mlp,1,179,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.500000000000002
counterfactual,wine_quality,mlp,1,179,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,179,cf_dt_retrieve,memory_recall_threshold,-5.0,1.0,6.411739019213565
counterfactual,wine_quality,mlp,1,179,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,179,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,144,cf_lr_calculation,memory_recall_threshold,-5.0,1.0,2.0
counterfactual,wine_quality,mlp,1,144,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,1,144,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,144,cf_dt_retrieve,memory_recall_threshold,-5.0,0.5,4.154922296693467
counterfactual,wine_quality,mlp,1,144,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,144,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,262,cf_lr_calculation,memory_recall_threshold,-5.0,1.0,2.0
counterfactual,wine_quality,mlp,1,262,cf_lr_heuristic,memory_recall_threshold,-5.0,0.4,9.5
counterfactual,wine_quality,mlp,1,262,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,262,cf_dt_retrieve,memory_recall_threshold,-5.0,0.6875,5.296875
counterfactual,wine_quality,mlp,1,262,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,262,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,58,cf_lr_calculation,memory_recall_threshold,-5.0,0.37742161848632394,2.0
counterfactual,wine_quality,mlp,1,58,cf_lr_heuristic,memory_recall_threshold,-5.0,0.5,9.5
counterfactual,wine_quality,mlp,1,58,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,58,cf_dt_retrieve,memory_recall_threshold,-5.0,0.4375,3.796875
counterfactual,wine_quality,mlp,1,58,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,58,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,372,cf_lr_calculation,memory_recall_threshold,-5.0,0.48809954086969964,2.0
counterfactual,wine_quality,mlp,1,372,cf_lr_heuristic,memory_recall_threshold,-5.0,0.2,9.5
counterfactual,wine_quality,mlp,1,372,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,372,cf_dt_retrieve,memory_recall_threshold,-5.0,0.8125,6.056436232126882
counterfactual,wine_quality,mlp,1,372,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,372,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,17,cf_lr_calculation,memory_recall_threshold,-5.0,0.9133089499303788,1.9999999999999998
counterfactual,wine_quality,mlp,1,17,cf_lr_heuristic,memory_recall_threshold,-5.0,0.8,9.5
counterfactual,wine_quality,mlp,1,17,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,17,cf_dt_retrieve,memory_recall_threshold,-5.0,1.0,5.669883445040199
counterfactual,wine_quality,mlp,1,17,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,17,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,157,cf_lr_calculation,memory_recall_threshold,-5.0,0.6448328567948611,2.0
counterfactual,wine_quality,mlp,1,157,cf_lr_heuristic,memory_recall_threshold,-5.0,0.5,9.5
counterfactual,wine_quality,mlp,1,157,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,157,cf_dt_retrieve,memory_recall_threshold,-5.0,0.0,5.283330657953516
counterfactual,wine_quality,mlp,1,157,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,157,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,22,cf_lr_calculation,memory_recall_threshold,-5.0,0.3780554039349877,2.0
counterfactual,wine_quality,mlp,1,22,cf_lr_heuristic,memory_recall_threshold,-5.0,1.0,9.5
counterfactual,wine_quality,mlp,1,22,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,22,cf_dt_retrieve,memory_recall_threshold,-5.0,0.5625,4.51022508378015
counterfactual,wine_quality,mlp,1,22,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,22,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,107,cf_lr_calculation,memory_recall_threshold,-5.0,0.9999999999999999,1.9999999999999998
counterfactual,wine_quality,mlp,1,107,cf_lr_heuristic,memory_recall_threshold,-5.0,1.0,9.5
counterfactual,wine_quality,mlp,1,107,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,107,cf_dt_retrieve,memory_recall_threshold,-5.0,0.375,4.896777870866833
counterfactual,wine_quality,mlp,1,107,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,107,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,138,cf_lr_calculation,memory_recall_threshold,-5.0,0.48757158085357943,2.0
counterfactual,wine_quality,mlp,1,138,cf_lr_heuristic,memory_recall_threshold,-5.0,0.5,9.5
counterfactual,wine_quality,mlp,1,138,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,138,cf_dt_retrieve,memory_recall_threshold,-5.0,0.625,4.896777870866833
counterfactual,wine_quality,mlp,1,138,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,138,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
