chi,ddm_a,ddm_a_bin,chosen_mode,with_xai,prob_correct,pred_time,reward,correct,cog_retrieval_threshold,cog_latency_factor,cog_T_enc,cog_T_op,cog_ddm_a,cog_ddm_s,cog_chi
0.0129125266058115,1.15,1,retrieve,False,0.5,0.15476323340852224,0.49800161563101103,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.15,0.9,0.01747522410497912
0.0129125266058115,1.15,1,retrieve,False,0.5,0.3773748957760246,0.49512713661792673,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.15,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,False,0.507421875,0.6076972545318248,0.4995749680325792,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.5,0.9959123258010485,0.48714025559603835,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.5296875,1.8601201959560396,0.5056686484797103,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.507421875,1.2047111468083194,0.4918660102645199,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.730078125,6.377172524608133,0.6477327151061474,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.8117187499999999,6.815395421966973,0.7237147752847255,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.5,5.978636217080325,0.4228007007804821,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.833984375,6.92829572091868,0.7445225721707076,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.373828125,6.531605676344364,0.28948859292553397,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.388671875,5.5697005050247705,0.3167529690424659,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.255078125,6.47672505560898,0.17144724040092307,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.596484375,6.34296191784042,0.5145807104762363,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.833984375,7.056427393224721,0.7428680685430087,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.7078125,6.379732316295957,0.625434036727873,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.908203125,6.77540307056138,0.8207155525862793,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.863671875,6.7970254168584185,0.7759051034644386,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.18828124999999998,5.964386943680185,0.11126594490237486,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.27734375,6.322947972261261,0.19569851608101457,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.85625,6.53241445379242,0.7719000245652178,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.84140625,6.748180176696856,0.7542701939275921,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.85625,6.669499940491681,0.7701299045709429,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.6484375,6.52669911918043,0.5641613239754563,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.85625,6.532406691185184,0.7719001248000902,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,True,0.21796875,6.419619805808082,0.13507523845830868,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.87109375,6.408777210460465,0.7883402437592109,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,True,0.373828125,4.115721868738895,0.3206837568677888,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.7746093749999999,6.795482784371334,0.6868625227474711,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,True,0.61875,3.84276430754674,0.56913020363894,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.492578125,4.622278129151148,0.4328928356778752,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,True,0.655859375,4.1219456180482155,0.6026346425392444,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,True,0.626171875,4.301306203790472,0.5706311442038136,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.462890625,6.29363050955603,0.3816239535982108,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.8859374999999999,6.44039825034465,0.8027756862404027,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.492578125,4.640440123262192,0.43265831844570174,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.5148437499999999,6.352699184198302,0.4328143527653223,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,True,0.611328125,4.213259687515817,0.5569242971877589,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.0129125266058115,1.5166666666666666,2,retrieve,False,0.84140625,6.448883478822834,0.758134870501922,1.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,1.5166666666666666,0.9,0.01747522410497912
0.0129125266058115,0.7833333333333333,0,retrieve,True,0.670703125,4.123062634706906,0.6174639690319198,0.0,-1.0,0.060674032947085066,0.5894785706075962,1.5649133622441924,0.7833333333333333,0.9,0.01747522410497912
0.008333958740280709,1.15,1,retrieve,True,0.5,0.34561358035978357,0.4971196706812009,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.15,0.9,0.00399441432697931
0.008333958740280709,1.15,1,retrieve,True,0.5,0.6767446758296175,0.49436003779393134,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.15,0.9,0.00399441432697931
0.008333958740280709,0.7833333333333333,0,retrieve,False,0.685546875,9.27804088734576,0.608224065054223,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,0.7833333333333333,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,True,0.7078125,9.081035082964501,0.6321315282995322,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.34414062500000003,7.594745406669722,0.28084633013787813,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,True,0.403515625,6.699136109924138,0.3476853010643676,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.804296875,10.496087666671691,0.7168229134515889,1.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.596484375,6.9403107099885615,0.538644111898227,1.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.566796875,5.691631705649601,0.5193630512002427,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.462890625,5.0297787075007125,0.42097265677894663,1.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.45546875,4.865829080662209,0.41491713120450313,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.7746093749999999,9.790883135065004,0.693012558921458,1.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.48515625,4.667766816625989,0.4462552739409876,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,False,0.5,7.23780668799163,0.43968041769215,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,True,0.7078125,8.28888365398785,0.638733285624678,1.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,True,0.54453125,4.7483998213156156,0.5049582818067994,1.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
0.008333958740280709,1.5166666666666666,2,retrieve,True,0.448046875,5.131448705321116,0.405281593211987,0.0,-1.0,0.13778205923550552,2.4050768882246363,2.5790300177077614,1.5166666666666666,0.9,0.00399441432697931
