appId,model,variant,fidelity,intercept,coef_a0,coef_a1,coef_a2,coef_a3,coef_a4,C,nnz,k,coef_a2=0,coef_a2=1,coef_a4=0,coef_a4=1,coef_a1=0,coef_a1=1,coef_a5,coef_a0=0,coef_a0=1,coef_a3=0,coef_a3=1,coef_a5=0,coef_a5=1,kept_groups
forest_cover,xgboost,dense,0.85,-1.264990691023688,-7.921550308781455,0.6409881113645621,-1.837029697456503,-1.1542717471151656,2.65478871025735,,,,,,,,,,6.161671917463328,,,,,,,
forest_cover,xgboost,sparse,0.8416666666666667,-0.189090458077367,-2.423207530643485,0.0,0.0,-0.2248834460708961,0.0,0.0109260086111737,,3.0,,,,,,,1.812198288781744,,,,,,,
wine_quality,mlp,dense,0.975,-0.2857510526047521,1.6256073062982073,0.7684260340756378,-0.4278124234569031,-1.1723748169290218,-0.335614772577978,,,,,,,,,,-0.3970652395768828,,,,,,,
wine_quality,mlp,sparse,0.955,-1.7250259905854235,5.000081224414007,2.240191053810276,,-4.308890609329269,,0.2126112333899656,,3.0,,,,,,,,,,,,,,"[""a0"", ""a3"", ""a1""]"
mushrooms,mlp,dense,0.8475,-1.5513320256614245,,3.552888700614347,-4.895550896463685,,2.526630519845668,,,,,,,,,,,1.4686748200788884,-1.4681970916467764,-0.4870988318178501,0.4875765602499567,0.0005256844073329,-4.795597522340173e-05,
mushrooms,mlp,sparse,0.845,-0.9704619708182716,,8.563700482281435,-13.876548351131722,,7.660685929871172,0.0401280703194277,,3.0,,,,,,,,,,,,,,"[""a2"", ""a1"", ""a4""]"
forest_cover,mlp,dense,0.8825,-0.6107898294849401,-4.893454234248791,0.1322681190849055,-0.7898136114911799,-1.4190608503369682,1.0995191270689475,,,,,,,,,,4.177718414707078,,,,,,,
forest_cover,mlp,sparse,0.8775,-1.3409996205601462,-7.742205640659011,,,-1.825444846338182,,0.0401280703194277,,3.0,,,,,,,6.935774111087666,,,,,,,"[""a0"", ""a5"", ""a3""]"
adult,mlp,dense,0.9325,-6.430758386063186,2.7439982463308352,4.669938056819116,,7.373264933960565,,,,,-2.4213281131585083,2.4319124862582644,-0.3596270979083379,0.3702114710081253,,,1.8232315429841537,,,,,,,
adult,mlp,sparse,0.9375,-7.588401044947048,,9.51154919087404,,11.299359042191648,,1.8139306939110624,,3.0,-3.3304521907018407,3.3859079631635765,,,,,,,,,,,,"[""a3"", ""a1"", ""a2""]"
breast_cancer,mlp,dense,0.975,4.56609563669597,-2.6968414813923243,-2.0367733546921167,-2.7750283638360407,-3.537175142522193,-2.5278530041479206,,6.0,,,,,,,,-2.9360873708838846,,,,,,,
breast_cancer,mlp,sparse,0.9725,4.319332300752544,0.0,0.0,-3.6777904490545166,-5.432277023601074,-3.3422156598213424,1.0,3.0,3.0,,,,,,,0.0,,,,,,,"[""a2"", ""a3"", ""a4""]"
breast_cancer,xgboost,dense,0.95,4.8160442106411905,-2.600607839031564,-2.2364013348522485,-2.482118260559678,-2.9736088080122345,-2.4700288380777224,,6.0,,,,,,,,-2.218965985175113,,,,,,,
breast_cancer,xgboost,sparse,0.9525,4.357500951242451,0.0,0.0,0.0,-4.285548400878187,-4.586142553901755,1.0,3.0,3.0,,,,,,,-3.093831293455343,,,,,,,"[""a3"", ""a4"", ""a5""]"
