app_id,model_name,dataset,instance_id,row_idx,calculation_mode,decision_boundary,n_selected_features,prob_correct,pred_time,reward,decision_noise,memory_recall_threshold,opportunity_cost
adult,xgboost,adult/xgboost,84,0,retrieve,1.0,6,0.31298084241532365,18.688378549800838,0.09261524038943701,0.31829593153367347,0.3532843338729592,0.01114947460372945
adult,xgboost,adult/xgboost,84,0,read,1.0,6,0.05434374170150801,19.659650123060594,-0.17685102806376263,0.31829593153367347,0.3532843338729592,0.01114947460372945
adult,xgboost,adult/xgboost,90,1,retrieve,1.0,6,0.709732297904486,20.64026008760176,0.35334606196095597,0.35922135109457415,0.16098373623832352,0.016685169396213024
adult,xgboost,adult/xgboost,90,1,read,1.0,6,0.9999251965156808,15.13113915284787,0.7354595765927429,0.35922135109457415,0.16098373623832352,0.016685169396213024
adult,xgboost,adult/xgboost,67,2,retrieve,1.0,6,0.6256038213297044,21.517222229565107,0.43977979970139036,0.40438202667205897,-0.6789692923104093,0.008078367169042675
adult,xgboost,adult/xgboost,67,2,read,1.0,6,0.9878305815575672,16.214124979398896,0.8448469266492364,0.40438202667205897,-0.6789692923104093,0.008078367169042675
adult,xgboost,adult/xgboost,66,3,retrieve,1.0,6,0.9975853859773619,18.969452437016727,0.7483811591250891,0.4012507081406175,-0.7453142055224684,0.012504537368163338
adult,xgboost,adult/xgboost,66,3,read,1.0,6,0.9782464992820199,16.621856012067866,0.7583978796508868,0.4012507081406175,-0.7453142055224684,0.012504537368163338
adult,xgboost,adult/xgboost,114,4,retrieve,1.0,6,0.6579577483906054,18.23526662206464,0.33854697900304487,0.49284826753601274,0.7872128426291507,0.01685803535307754
adult,xgboost,adult/xgboost,114,4,read,1.0,6,0.43895516340276525,17.596393010243744,0.1303145479494297,0.49284826753601274,0.7872128426291507,0.01685803535307754
adult,xgboost,adult/xgboost,48,5,retrieve,1.0,6,0.5937479881414642,21.665693143018277,0.16636994480563977,0.4252893224514696,1.9083676806333028,0.019172155748438592
adult,xgboost,adult/xgboost,48,5,read,1.0,6,0.9932942938423904,15.682704532846522,0.6806230399819131,0.4252893224514696,1.9083676806333028,0.019172155748438592
adult,xgboost,adult/xgboost,44,6,retrieve,1.0,6,0.5418647625285054,20.872515150983705,0.34227911221994267,0.3453025432365231,0.3829873530766048,0.008987208726482676
adult,xgboost,adult/xgboost,44,6,read,1.0,6,0.014542616600910274,17.362857001716918,-0.15350100336159087,0.3453025432365231,0.3829873530766048,0.008987208726482676
adult,xgboost,adult/xgboost,79,7,retrieve,1.0,6,0.6532637567699261,22.393297938510003,0.46882762934548705,0.3545680207590079,-0.2743213704805382,0.007700345339839325
adult,xgboost,adult/xgboost,79,7,read,1.0,6,0.9962330671275619,16.330673942665012,0.8584812381367258,0.3545680207590079,-0.2743213704805382,0.007700345339839325
adult,xgboost,adult/xgboost,76,8,retrieve,1.0,6,0.6249996993167064,21.393260930811614,0.49139500439654393,0.39348011783789383,1.277449989452239,0.005684252406093988
adult,xgboost,adult/xgboost,76,8,read,1.0,6,0.007269268575193986,16.089054417380495,-0.0961849777085782,0.39348011783789383,1.277449989452239,0.005684252406093988
adult,xgboost,adult/xgboost,27,9,retrieve,1.0,6,0.6281768974084021,19.339986330549017,0.24942661439083552,0.3436812139930354,0.832463575562806,0.018963316558205417
adult,xgboost,adult/xgboost,27,9,read,1.0,6,0.9998863232217896,15.363959005788686,0.6965347050077277,0.3436812139930354,0.832463575562806,0.018963316558205417
adult,xgboost,adult/xgboost,10,10,retrieve,1.0,6,0.3756064228382393,18.40841208565085,0.04531209352234224,0.34727415332330813,0.2752220746413321,0.017290699916697537
adult,xgboost,adult/xgboost,10,10,read,1.0,6,0.008578338680153445,16.93150731316387,-0.2961792734091328,0.34727415332330813,0.2752220746413321,0.017290699916697537
