Participant ID,dataId,expMethod,modelName,Session,Tested w/ XAI,XAIType,Strategy,Assignment Prob,NLL,PAI,MAI,sensitivity,k,retrieval_threshold,scaling_factor
185,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.3345052055,0.5555555556,0.5555555556,13.325632598,3,-2.079797594,
117,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.4960703186,0.6111111111,0.6666666667,6.0459083799,3,-2.280770251,
117,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.375094293,0.5555555556,0.5555555556,13.325632598,3,-2.079797594,
117,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6542447079,0.7777777778,0.7222222222,1.0,2,-2.280770251,
170,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.6735596238,0.5555555556,0.7222222222,1.0,3,-2.280770251,
217,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.4652545019,0.5555555556,0.6111111111,20.737304059,1,-2.280770251,
217,wine_quality,lime,mlp,1,w/o XAI,,Sensitive-features categorization,1,0.6369079061,0.6111111111,0.3333333333,1.0,1,-2.079797594,
217,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.4782135691,0.6111111111,0.7777777778,20.737304059,2,-2.280770251,
217,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.2994016984,0.6111111111,0.7222222222,36.539908482,1,-3.537109641,
203,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.626972927,0.5,0.5555555556,1.0,2,-2.280770251,
203,wine_quality,lime,mlp,1,w/o XAI,,Sensitive-features categorization,1,0.5357534671,0.5,0.5555555556,1.0,1,-2.079797594,
82,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.6638577754,0.5,0.6111111111,1.0,2,-2.280770251,
