episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_pred_time,selected_decision_boundary,selected_mode
0,28,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9180132666872862,0.4,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.198673331271381,1.0,8.198673331271381,0.6,read
0,29,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.4903125,0.4,0.5,0.01,0.0,0.0,0.5,0.0,0.0,0.96875,0.5,0.96875,0.6,retrieve
0,30,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9180132666872862,0.4,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.198673331271381,1.0,8.198673331271381,0.6,read
0,31,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.4903125,0.4,0.5,0.01,0.0,0.0,0.5,0.0,0.0,0.96875,0.5,0.96875,0.6,retrieve
0,32,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,-0.08198673331271382,0.4,0.5,0.01,0.0,0.0,0.0,0.0,0.0,8.198673331271381,0.0,8.198673331271381,0.6,read
0,33,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9180132666872862,0.4,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.198673331271381,1.0,8.198673331271381,0.6,read
0,34,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.4,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.9,retrieve
0,35,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9180132666872862,0.4,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.198673331271381,1.0,8.198673331271381,0.6,read
0,36,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9180132666872862,0.4,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.198673331271381,1.0,8.198673331271381,0.6,read
0,37,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9060000146833069,0.4,0.5,0.01,0.0,0.0,1.0,0.0,0.0,9.399998531669311,1.0,9.399998531669311,1.2000000000000002,read
0,38,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.4903125,0.4,0.5,0.01,0.0,0.0,0.5,0.0,0.0,0.96875,0.5,0.96875,0.6,retrieve
0,39,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.4,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.2000000000000002,retrieve
1,0,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.6007609648193684,0.4,0.5,0.01,0.281491840661639,0.6337073240104814,0.0,3.5278347923610047,3.294635919111297,0.0,0.6337073240104814,3.294635919111297,0.6,heuristic
1,1,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.2666785115299868,0.4,0.5,0.01,0.7185081593390672,0.312697732091491,0.0,3.527834792259693,4.601922056150418,0.0,0.312697732091491,4.601922056150418,0.6,heuristic
1,2,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.07373637416860009,0.4,0.5,0.01,0.18792727020632516,0.525516893058542,0.0,11.419089603772507,3.2810856356738327,0.0,0.18792727020632516,11.419089603772507,0.6,read
1,3,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.887682525855902,0.4,0.5,0.01,0.9918924299600839,0.4958633613208938,0.0,10.420990410418186,4.889071022685487,0.0,0.9918924299600839,10.420990410418186,0.6,read
1,4,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7073918628264371,0.4,0.5,0.01,0.4687845486661026,0.756857334310542,0.0,4.14683354178797,4.946547148410491,0.0,0.756857334310542,4.946547148410491,0.6,heuristic
1,5,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9176810355580748,0.4,0.5,0.01,0.9990934300233755,0.4243423067814275,0.0,8.141239446530069,4.827938883140966,0.0,0.9990934300233755,8.141239446530069,0.6,read
1,6,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8915509313455338,0.4,0.5,0.01,0.9997879268272353,0.6956484948258719,0.0,10.823699548170149,5.2894939915590635,0.0,0.9997879268272353,10.823699548170149,1.5,read
1,7,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8187861794433849,0.4,0.5,0.01,0.9097465696907321,0.4053574881639316,0.0,9.096039024734718,5.058884707873198,0.0,0.9097465696907321,9.096039024734718,0.6,read
1,8,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9318873402836831,0.4,0.5,0.01,0.9952322345357719,0.7249954212554598,0.0,6.334489425208883,5.09617436510702,0.0,0.9952322345357719,6.334489425208883,0.6,read
1,9,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9351435057711285,0.4,0.5,0.01,0.9975803182403102,0.714146595522815,0.0,6.243681246918179,5.1559594158866,0.0,0.9975803182403102,6.243681246918179,0.6,read
1,10,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7582603995931284,0.4,0.5,0.01,0.43756909733220517,0.8082016190255324,0.0,4.043667083575939,4.994121943240399,0.0,0.8082016190255324,4.994121943240399,0.6,heuristic
1,11,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.3534646382134731,0.4,0.5,0.01,0.5624309026677948,0.40421690493516804,0.0,4.043667083575939,5.075226672169492,0.0,0.40421690493516804,5.075226672169492,0.6,heuristic
1,12,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7073259307455826,0.4,0.5,0.01,0.3439227433302971,0.759119255600332,0.0,3.7341677089088914,5.179332485474939,0.0,0.759119255600332,5.179332485474939,0.6,heuristic
1,13,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9194105833192076,0.4,0.5,0.01,0.9848619684530912,0.7715613832597475,0.0,6.545138513388358,4.9524118887318735,0.0,0.9848619684530912,6.545138513388358,0.6,read
1,14,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.8156830913637197,0.4,0.5,0.01,0.3439227433305129,0.863872152055255,0.0,3.734167708939848,4.818906069153529,0.0,0.863872152055255,4.818906069153529,0.6,heuristic
1,15,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9285479569501031,0.4,0.5,0.01,0.9925982484460771,0.9646432229024213,0.0,6.405029149597405,4.837362795037883,0.0,0.9925982484460771,6.405029149597405,0.6,read
1,16,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.4774104840891134,0.4,0.5,0.01,0.5747418831219628,0.1673750604614861,0.0,9.733139903284941,5.345370145897753,0.0,0.5747418831219628,9.733139903284941,0.6,read
1,17,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.5896593688643784,0.4,0.5,0.01,0.43756909733220517,0.6414603134667719,0.0,4.043667083575939,5.180094460239347,0.0,0.6414603134667719,5.180094460239347,0.6,heuristic
1,18,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.38113479639775555,0.4,0.5,0.01,0.4786210779572414,0.07468281604572247,0.0,9.748628155948586,5.043136134234212,0.0,0.4786210779572414,9.748628155948586,0.6,read
1,19,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.8312149620618774,0.4,0.5,0.01,0.9216119214080348,0.7863736306880186,0.0,9.039695934615741,5.056392139270273,0.0,0.9216119214080348,9.039695934615741,0.6,read
1,20,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.6258985518051352,0.4,0.5,0.01,0.5312154513338974,0.678870967937659,0.0,4.14683354178797,5.297241613252378,0.0,0.678870967937659,5.297241613252378,0.6,heuristic
1,21,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9090753014433537,0.4,0.5,0.01,0.9930243270308766,0.7784369411938614,0.0,8.394902558752287,3.6196283558335756,0.0,0.9930243270308766,8.394902558752287,0.6,read
1,22,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.4823623628746872,0.4,0.5,0.01,0.5312154513338974,0.5327933038999721,0.0,4.14683354178797,5.043094102528494,0.0,0.5327933038999721,5.043094102528494,0.6,heuristic
1,23,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.4917483111464463,0.4,0.5,0.01,0.37513819466441034,0.5423510639884102,0.0,3.8373341671518784,5.060275284196388,0.0,0.5423510639884102,5.060275284196388,0.6,heuristic
1,24,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.6849915538415869,0.4,0.5,0.01,0.18784548666102585,0.7534473024662471,0.0,3.218335417879696,6.845574862466018,0.0,0.7534473024662471,6.845574862466018,0.6,heuristic
1,25,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9148041786660942,0.4,0.5,0.01,0.9973512290548545,0.9029396623071028,0.0,8.254705038876029,4.995972174696989,0.0,0.9973512290548545,8.254705038876029,0.6,read
1,26,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7939788513777228,0.4,0.5,0.01,0.28149184066207067,0.8453373276374361,0.0,3.527834792422918,5.135847625971327,0.0,0.8453373276374361,5.135847625971327,0.6,heuristic
1,27,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.13508684153362965,0.4,0.5,0.01,0.23020148032108567,0.2355987252936882,0.0,9.511463878745602,5.2716992328551155,0.0,0.23020148032108567,9.511463878745602,0.6,read
