episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_pred_time,selected_decision_boundary,selected_mode,sweep_parameter,sweep_value
0,22,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,23,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.6,retrieve,decision_noise,0.3
0,24,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.2000000000000002,retrieve,decision_noise,0.3
0,25,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,26,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.9,retrieve,decision_noise,0.3
0,27,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.48456250242939125,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.5437497570608745,0.5,1.5437497570608745,0.6,retrieve,decision_noise,0.3
0,28,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,29,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.9,retrieve,decision_noise,0.3
0,30,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,31,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.48743750121469565,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.2562498785304372,0.5,1.2562498785304372,0.6,retrieve,decision_noise,0.3
