Participant Id,dataId,Model,Complexity,Variant,Strategy,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
10,wine_quality,mlp,high,dense,calculation,27.887,23.686,21.007,0.5,2.0,1.0,0.05,-0.087,1.5,0.657,2,27.445,GP(skopt),50
10,wine_quality,mlp,high,dense,heuristic,24.083,23.281,4.011,0.5,2.0,1.0,0.05,0.371,1.0,0.866,2,23.751,GP(skopt),50
67,wine_quality,mlp,low,sparse,calculation,28.458,27.474,4.92,0.83,2.0,1.0,0.05,1.412,1.0,0.844,2,27.415,GP(skopt),50
67,wine_quality,mlp,low,sparse,heuristic,22.036,21.732,1.523,0.525,2.0,1.0,0.05,1.056,1.182,0.731,2,20.261,GP(skopt),50
159,wine_quality,mlp,high,dense,calculation,26.605,24.203,12.008,0.604,2.0,1.0,0.05,-1.0,1.0,0.488,2,26.036,GP(skopt),50
159,wine_quality,mlp,high,dense,heuristic,25.571,24.479,5.457,1.897,2.0,1.0,0.05,-1.595,1.457,1.013,2,24.515,GP(skopt),50
313,wine_quality,mlp,high,dense,calculation,26.731,25.316,7.074,0.5,2.0,1.0,0.05,1.459,1.5,0.769,2,26.645,GP(skopt),50
313,wine_quality,mlp,high,dense,heuristic,25.371,24.523,4.239,0.864,2.0,1.0,0.05,-0.349,1.013,1.121,2,23.525,GP(skopt),50
72,wine_quality,mlp,high,dense,calculation,29.556,26.822,13.666,0.5,2.0,1.0,0.05,1.5,1.5,0.84,2,29.266,GP(skopt),50
72,wine_quality,mlp,high,dense,heuristic,25.399,24.571,4.14,0.5,2.0,1.0,0.05,-2.0,1.5,1.5,2,25.488,GP(skopt),50
290,wine_quality,mlp,low,sparse,calculation,29.463,28.166,6.482,0.5,2.0,1.0,0.05,-2.0,1.0,1.5,2,29.455,GP(skopt),50
290,wine_quality,mlp,low,sparse,heuristic,27.133,25.727,7.026,2.211,2.0,1.0,0.05,-1.556,1.335,0.733,2,24.44,GP(skopt),50
196,wine_quality,mlp,high,dense,calculation,25.702,24.484,6.09,0.5,2.0,1.0,0.05,1.006,1.5,0.847,2,25.692,GP(skopt),50
196,wine_quality,mlp,high,dense,heuristic,27.488,26.867,3.105,1.44,2.0,1.0,0.05,-1.159,1.028,1.479,2,27.145,GP(skopt),50
23,wine_quality,mlp,low,sparse,calculation,23.969,21.961,10.04,0.5,2.0,1.0,0.05,1.5,1.0,0.386,2,24.009,GP(skopt),50
